[01] , [5B] , [00] , [72] , [0F] , [6A] , [20] , [C5] , 25:10:16:20:41:475
[02] , [5B] , [00] , [72] , [F4] , [6F] , [17] , [CA] , 25:10:16:20:41:508
[03] , [5B] , [00] , [73] , [10] , [8B] , [1C] , [24] , 25:10:16:20:41:542
[01] , [5B] , [00] , [73] , [0F] , [6A] , [20] , [C6] , 25:10:16:20:41:608
[02] , [5B] , [00] , [74] , [F5] , [6F] , [18] , [CA] , 25:10:16:20:41:642
[03] , [5B] , [00] , [74] , [10] , [8B] , [1C] , [24] , 25:10:16:20:41:675
[01] , [5C] , [00] , [75] , [0F] , [6A] , [21] , [C6] , 25:10:16:20:41:743
[02] , [5B] , [00] , [75] , [F5] , [6F] , [18] , [CA] , 25:10:16:20:41:775
[03] , [5B] , [00] , [75] , [0F] , [8B] , [1C] , [24] , 25:10:16:20:41:809
[01] , [5B] , [00] , [76] , [10] , [6A] , [21] , [C6] , 25:10:16:20:41:875
[02] , [5B] , [00] , [76] , [F5] , [6F] , [18] , [CA] , 25:10:16:20:41:908
[03] , [5C] , [00] , [77] , [0F] , [8B] , [1C] , [24] , 25:10:16:20:41:941
[01] , [5B] , [00] , [77] , [0F] , [6A] , [20] , [C6] , 25:10:16:20:42:009
[02] , [5B] , [00] , [78] , [F5] , [6F] , [18] , [C9] , 25:10:16:20:42:042
[03] , [5B] , [00] , [78] , [10] , [8B] , [1C] , [23] , 25:10:16:20:42:075
[01] , [5B] , [00] , [79] , [0F] , [6A] , [20] , [C6] , 25:10:16:20:42:142
[02] , [5B] , [00] , [79] , [F5] , [6F] , [18] , [C9] , 25:10:16:20:42:175
[03] , [5C] , [00] , [79] , [10] , [8B] , [1C] , [24] , 25:10:16:20:42:208
