[03] , [5C] , [00] , [39] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:064
[01] , [5B] , [00] , [3A] , [0D] , [6B] , [24] , [CA] , 25:10:16:42:21:131
[02] , [5B] , [00] , [3B] , [E1] , [71] , [F9] , [D2] , 25:10:16:42:21:164
[03] , [5C] , [00] , [3B] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:197
[01] , [5C] , [00] , [3C] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:21:264
[02] , [5B] , [00] , [3C] , [E1] , [71] , [FA] , [D2] , 25:10:16:42:21:297
[03] , [5C] , [00] , [3C] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:330
[01] , [5B] , [00] , [3D] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:21:397
[02] , [5B] , [00] , [3D] , [E1] , [71] , [FA] , [D2] , 25:10:16:42:21:430
[03] , [5B] , [00] , [3D] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:464
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:21:564
[02] , [5B] , [00] , [3F] , [E0] , [71] , [FA] , [D2] , 25:10:16:42:21:564
[03] , [5B] , [00] , [3F] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:597
[01] , [5B] , [00] , [40] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:21:664
[02] , [5B] , [00] , [40] , [E0] , [71] , [F9] , [D1] , 25:10:16:42:21:697
[03] , [5B] , [00] , [40] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:730
[01] , [5C] , [00] , [41] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:21:797
[02] , [5B] , [00] , [41] , [E0] , [71] , [F9] , [D1] , 25:10:16:42:21:830
[03] , [5B] , [00] , [41] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:864
[01] , [5B] , [00] , [42] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:21:930
[02] , [5B] , [00] , [43] , [E0] , [71] , [F9] , [D1] , 25:10:16:42:21:963
[03] , [5B] , [00] , [43] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:21:997
[01] , [5B] , [00] , [44] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:063
[02] , [5B] , [00] , [44] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:22:097
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:22:163
[01] , [5B] , [00] , [45] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:197
[02] , [5B] , [00] , [45] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:22:230
[03] , [5C] , [00] , [45] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:22:263
[01] , [5B] , [00] , [46] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:330
[02] , [5C] , [00] , [47] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:22:363
[03] , [5C] , [00] , [47] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:22:396
[01] , [5B] , [00] , [48] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:463
[02] , [5B] , [00] , [48] , [E0] , [71] , [F9] , [D1] , 25:10:16:42:22:497
[03] , [5B] , [00] , [48] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:22:530
[01] , [5B] , [00] , [49] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:597
[02] , [5B] , [00] , [49] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:22:630
[03] , [5B] , [00] , [49] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:22:663
[01] , [5B] , [00] , [4A] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:730
[02] , [5B] , [00] , [4B] , [E0] , [71] , [F9] , [D1] , 25:10:16:42:22:764
[03] , [5C] , [00] , [4B] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:22:797
[01] , [5B] , [00] , [4C] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:863
[02] , [5B] , [00] , [4C] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:22:896
[03] , [5C] , [00] , [4C] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:22:930
[01] , [5B] , [00] , [4D] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:22:996
[02] , [5B] , [00] , [4D] , [E0] , [71] , [F8] , [D2] , 25:10:16:42:23:030
[03] , [5C] , [00] , [4D] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:23:063
[01] , [5B] , [00] , [4E] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:23:130
[02] , [5B] , [00] , [4F] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:23:164
[03] , [5C] , [00] , [4F] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:23:196
[01] , [5B] , [00] , [50] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:23:263
[02] , [5B] , [00] , [50] , [E1] , [71] , [F9] , [D3] , 25:10:16:42:23:296
[03] , [5B] , [00] , [50] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:23:330
[01] , [5B] , [00] , [51] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:23:396
[02] , [5B] , [00] , [51] , [E1] , [71] , [F9] , [D3] , 25:10:16:42:23:430
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:23:529
[01] , [5B] , [00] , [52] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:23:529
[02] , [5B] , [00] , [53] , [E1] , [71] , [F9] , [D3] , 25:10:16:42:23:563
[03] , [5C] , [00] , [53] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:23:596
[01] , [5B] , [00] , [54] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:23:663
[02] , [5B] , [00] , [54] , [E1] , [71] , [F9] , [D2] , 25:10:16:42:23:696
[03] , [5C] , [00] , [54] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:23:729
[01] , [5B] , [00] , [55] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:23:796
[02] , [5B] , [00] , [55] , [E1] , [71] , [F9] , [D2] , 25:10:16:42:23:829
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:23:929
