Temperature	Relative Humidity	PM2.5	TVOC	CO2	CO	Air Pressure	Ozone	NO2	Virus Index	Temperature	Humidity	Pressure	VOC	CO2	CO	NO2	PM1.0	PM2.5	PM10
19.8	63.3	4	35	533	0	1009.3	7.8	15.9	2	23.6	53.1	99280.92	63.1	688.83	0	0.01	15.48	14.55	15.48
19.6	63.6	7	21	538	0	1009.3	7.8	16.4	2	23.07	52.74	98616	11.82	641.78	0	0.01	14.43	13.45	14.43
19.5	64.4	15	29	541	0	1009.4	7.8	16.6	3	22.6	54.04	99194.25	3.9	635.83	0	0.01	11.47	11.42	11.47
19.5	64.5	4	23	544	0	1009.5	7.9	17.5	2	22.62	54.83	99284.33	9.9	603.67	0	0.01	14.17	13.77	14.17
19.5	64.5	3	38	540	0	1009.5	7.9	17.1	2	21.72	55.97	99286.4	5.86	636.52	0	0.01	17.07	16.77	17.07
19.7	64.1	13	44	538	0	1009.5	7.8	16.6	2	22.52	55.5	99289.3	55.43	637.54	0	0.01	17.82	17.38	17.82
19.6	64.3	21	31	538	0	1009.5	7.8	17	3	22.62	55.07	99292.1	37.38	644.92	0	0.01	15.42	15.42	15.42
19.7	64.5	9	27	539	0	1009.6	7.9	17.1	2	22.62	55.88	99294.32	6.4	616.16	0	0.01	12.92	12.92	12.92
19.7	64.6	24	23	539	0	1009.6	7.8	15.6	3	22.39	55.5	98322.5	7.64	656.73	0	0.01	15.38	15.38	15.38
19.6	64.8	36	19	536	0	1009.6	7.8	15.2	5	21.77	56.9	99299.05	1.71	672.62	0	0.01	15.73	15.3	15.73
19.8	64.9	16	20	533	0	1009.5	7.8	16	3	22.03	57.03	99300.35	7.38	650.27	0	0.01	17.33	16.97	17.33
19.4	65.8	6	18	531	0	1009.7	7.8	15.5	2	22.25	56.82	99302.38	41.63	637.27	0	0.01	17.22	17.22	17.22
19.4	65.9	11	18	525	0	1009.7	7.9	17.9	2	22.62	56.05	99305.05	112.8	628.83	0	0.01	19.15	18.72	19.15
19.2	66.2	2	14	523	0	1009.7	8	19.4	2	22.62	55.72	99307.43	57.05	633.5	0	0.01	20.73	20.73	20.73
19	66.9	15	18	527	0	1009.7	8	18.8	3	22.62	55.92	99309.67	36.48	637.33	0	0.01	17.17	17.03	17.17
19.7	65.3	4	18	522	0	1009.8	7.9	17.9	2	23.65	54.75	99311.8	199.32	645.22	0	0.01	15.92	15.65	15.92
20.1	63.8	10	15	521	0	1009.7	7.8	16.3	2	24.58	54.02	99313.3	288.48	632.33	0	0.01	18.78	17.85	18.78
19.7	65.6	14	18	530	0	1009.6	7.7	14.1	2	24.58	53.1	99314.7	178.5	674.57	0	0.01	16.08	14.7	16.08
19.7	65.3	21	21	531	0	1009.6	7.7	14.4	3	24.48	53.1	99314.27	119	645.9	0	0.01	15.18	14.63	15.18
19.6	65.8	24	31	535	0	1009.6	7.8	15.7	3	23.6	53.75	99313.28	83.35	603	0	0.01	13.88	13.88	13.88
19.5	66.1	8	38	548	0	1009.6	7.8	15.4	2	23.6	54.08	99313.72	65.95	634.53	0	0.01	16.52	15.05	16.52
19.7	65.9	16	47	562	0	1009.7	7.7	15.3	3	23.6	54.08	99314.33	86.43	674.1	0	0.01	18.45	17.25	18.45
19.9	64.9	16	28	563	0	1009.7	7.8	17.4	3	23.2	54.82	99315.1	39.57	703.8	0	0.01	16.68	16.68	16.68
19.8	65.1	14	24	564	0	1009.8	7.7	15.1	2	23.2	55.07	99316.6	79.65	688.05	0	0.01	13.65	13.65	13.65
20.1	65.1	7	40	563	0	1009.8	7.6	13.6	2	23.5	54.83	98896.08	109.18	634.02	0	0.01	24.46	24.46	24.46
19.8	65.2	5	187	556	0	1009.8	7.8	15.9	2	23.6	55.07	99319.02	68.45	634.08	0	0.01	16.76	16.22	16.76
19.9	64.7	13	27	544	0	1009.8	7.8	16.1	2	22.7	55.07	99320.72	26.88	651.58	0	0.01	17.78	17.78	17.78
19.8	65.2	13	19	543	0	1009.8	7.7	15.5	2	22.62	55.85	99321.93	33.52	703.72	0	0.01	21.77	20.37	21.77
19.6	65.4	36	24	547	0	1009.8	7.9	17.9	5	22.59	56.55	99202.32	12.88	677.35	0	0.01	24.39	21.04	24.39
19.7	65.4	10	20	549	0	1009.7	7.8	17.1	2	21.7	57.03	99321.65	4.63	705.3	0	0.01	18.73	18.53	18.73
19.6	65.5	9	15	549	0	1009.8	7.9	18.4	2	22.53	57.03	99321.58	8.22	617.6	0	0.01	18.43	18.43	18.43
19.6	65	12	15	550	0	1009.8	8	19.1	2	22.62	57.03	99322.43	5.87	659.62	0	0.01	15.73	15.73	15.73
19.8	65.2	16	14	548	0	1009.8	7.8	17.1	3	22.62	56.37	99323.23	27.87	636.82	0	0.01	17.2	17.2	17.2
20.3	63.5	17	11	541	0	1009.7	7.7	15.4	3	23.07	55.6	99324.4	90.22	637.9	0	0.01	17.57	17.57	17.57
20.3	65.2	8	11	534	0	1009.7	7.6	12.8	2	23.63	55.03	99325.33	169.55	617.43	0	0.01	16.23	16.2	16.23
20.4	64.9	10	12	532	0	1009.8	7.6	13.5	2	24.58	53.47	99326.62	185.92	613.18	0	0.01	19.08	17.6	19.08
20.4	63.6	4	8	532	0	1009.8	7.7	14.3	2	24.58	52.33	99327.78	191.22	607.42	0	0.01	17.62	16.63	17.62
20.7	63.2	21	8	530	0	1009.8	7.6	13.8	3	25.5	52.12	99328.98	277.03	631.78	0	0.01	15.14	14.83	15.14
20.6	62.3	2	5	527	0	1009.6	7.6	13.9	2	25.57	52.12	99329.05	265.03	647.78	0	0.01	14.75	13.77	14.75
