[02] , [5B] , [00] , [29] , [18] , [8E] , [FF] , [30] , 25:10:15:53:16:238
[03] , [5B] , [00] , [29] , [00] , [77] , [13] , [D9] , 25:10:15:53:16:272
[01] , [5B] , [00] , [2A] , [F1] , [94] , [F2] , [3E] , 25:10:15:53:16:338
[02] , [5B] , [00] , [2A] , [18] , [8E] , [FF] , [31] , 25:10:15:53:16:372
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:16:472
[01] , [5B] , [00] , [2B] , [F2] , [93] , [F3] , [3D] , 25:10:15:53:16:472
[02] , [5B] , [00] , [2C] , [18] , [8E] , [FF] , [30] , 25:10:15:53:16:505
[03] , [5B] , [00] , [2C] , [00] , [77] , [12] , [D9] , 25:10:15:53:16:538
[01] , [5B] , [00] , [2D] , [F3] , [93] , [F4] , [3D] , 25:10:15:53:16:605
[02] , [5B] , [00] , [2D] , [19] , [8E] , [FF] , [30] , 25:10:15:53:16:638
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:16:738
[01] , [5B] , [00] , [2E] , [F4] , [93] , [F5] , [3E] , 25:10:15:53:16:738
[02] , [5B] , [00] , [2E] , [19] , [8E] , [00] , [30] , 25:10:15:53:16:773
[03] , [5B] , [00] , [2F] , [FF] , [77] , [13] , [D9] , 25:10:15:53:16:805
[01] , [5B] , [00] , [2F] , [F5] , [93] , [F6] , [3E] , 25:10:15:53:16:871
[02] , [5B] , [00] , [30] , [1A] , [8E] , [00] , [2F] , 25:10:15:53:16:905
[03] , [5B] , [00] , [30] , [FF] , [77] , [12] , [D9] , 25:10:15:53:16:938
[01] , [5B] , [00] , [31] , [F6] , [93] , [F7] , [3E] , 25:10:15:53:17:005
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:17:071
[03] , [5C] , [00] , [31] , [FF] , [77] , [12] , [D9] , 25:10:15:53:17:071
[01] , [5C] , [00] , [32] , [F6] , [93] , [F8] , [3E] , 25:10:15:53:17:138
[02] , [5B] , [00] , [32] , [19] , [8E] , [00] , [2F] , 25:10:15:53:17:171
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:17:271
[01] , [5B] , [00] , [33] , [F7] , [92] , [F8] , [3E] , 25:10:15:53:17:271
[02] , [5B] , [00] , [34] , [19] , [8D] , [00] , [2F] , 25:10:15:53:17:304
[03] , [5C] , [00] , [34] , [FF] , [77] , [13] , [D9] , 25:10:15:53:17:337
[01] , [5C] , [00] , [35] , [F7] , [92] , [F9] , [3D] , 25:10:15:53:17:404
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:17:537
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:17:537
[01] , [5C] , [00] , [36] , [F7] , [92] , [FA] , [3D] , 25:10:15:53:17:537
[02] , [5B] , [00] , [36] , [18] , [8D] , [00] , [2F] , 25:10:15:53:17:571
[03] , [5B] , [00] , [37] , [00] , [77] , [13] , [D9] , 25:10:15:53:17:604
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:17:704
[02] , [5B] , [00] , [38] , [19] , [8E] , [FF] , [30] , 25:10:15:53:17:704
[03] , [5C] , [00] , [38] , [FF] , [77] , [13] , [D9] , 25:10:15:53:17:737
[01] , [5B] , [00] , [39] , [F9] , [92] , [FB] , [3D] , 25:10:15:53:17:804
