[01] , [5B] , [00] , [E0] , [03] , [84] , [FF] , [19] , 25:10:11:14:18:109
[02] , [5B] , [00] , [E1] , [06] , [8D] , [10] , [31] , 25:10:11:14:18:143
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:242
[01] , [5A] , [00] , [E2] , [04] , [84] , [FF] , [19] , 25:10:11:14:18:242
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:375
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:375
[01] , [5A] , [00] , [E3] , [04] , [84] , [00] , [19] , 25:10:11:14:18:375
[02] , [5B] , [00] , [E3] , [05] , [8D] , [10] , [30] , 25:10:11:14:18:409
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:509
[01] , [5A] , [00] , [E4] , [04] , [84] , [00] , [1A] , 25:10:11:14:18:509
[02] , [5B] , [00] , [E5] , [06] , [8D] , [10] , [31] , 25:10:11:14:18:542
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:642
[01] , [5A] , [00] , [E6] , [04] , [84] , [00] , [19] , 25:10:11:14:18:642
[02] , [5A] , [00] , [E6] , [06] , [8D] , [11] , [31] , 25:10:11:14:18:675
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:775
[01] , [5B] , [00] , [E7] , [03] , [84] , [01] , [19] , 25:10:11:14:18:775
[02] , [5B] , [00] , [E7] , [06] , [8D] , [11] , [30] , 25:10:11:14:18:809
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:942
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:942
[02] , [5B] , [00] , [E9] , [06] , [8C] , [11] , [30] , 25:10:11:14:18:942
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:075
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:075
[02] , [5A] , [00] , [EA] , [05] , [8C] , [10] , [30] , 25:10:11:14:19:075
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:142
